name,target,version,median,min,max,accuracy
Objective-C,objc,18.1.8,142.95,137.56,145.4,9.497
Rust (SIMD),rust-simd,1.92.0,141.31,140.73,144.57,9.4967
Fortran 90,fortran,14.3.0,141.67,141.04,144.35,9.4402
Nim,nim,2.2.4,142.43,142.18,154.58,9.4951
C++ (clang++),cpp-clang,21.1.2,143.32,142.74,144.96,9.4967
Rust (nightly SIMD),rust-nightly,1.100.0,144.76,143.12,146.7,9.4952
C (clang),c-clang,21.1.2,146.07,143.63,150.61,9.4967
Zig (SIMD),zig-simd,0.16.0,148.54,146.91,148.78,9.4956
C (gcc),c,15.2.0,157.9,155.46,160.78,9.4992
C++ (g++),cpp,15.2.0,158.78,156.17,161.71,9.4992
Julia,julia,1.12.1,163.22,162.36,169.96,9.4976
C# (SIMD),csharp-simd,8.0.416,203.58,200.44,208.14,9.4946
F# (SIMD),fsharp-simd,8.0.416,213.1,212.09,213.46,9.4946
Swift,swift,5.8,290.64,288.21,291.54,9.8565
C++ (AVX2),cpp-avx2,15.2.0,290.67,288.77,292.64,9.4973
Common Lisp (SBCL SIMD),sbcl-simd,2.5.10,303.71,300.83,305.67,9.4973
D (GDC),d,11.5.0,317.55,311.76,317.99,9.4943
D (LDC),d-ldc,1.41.0,585.51,582.34,589.7,9.4956
Swift (SIMD),swift-simd,5.8,661.68,657.91,664.7,8.6928
Rust,rust,1.92.0,705.02,695.51,709.33,9.4979
Rust (fast-math),rust-fastmath,1.92.0,710.19,706.73,720.81,9.4979
OCaml,ocaml,5.3.0,1136.97,1113.51,1144.82,9.4971
Java (Vec Ops),java-vecops,23.0.2,1171.26,1121.27,1214.4,9.4986
Ada (gnat-gcc),ada,13.4.0,1123.6,1122.0,1139.06,9.4964
Pony,pony,0.60.4,1143.38,1131.15,1152.76,9.4979
LuaJIT,luajit,2.1.1741730670,1145.65,1132.41,1148.37,9.4964
Scala,scala,3.7.4,1134.72,1133.08,1159.44,9.4979
Zig,zig,0.16.0,1151.77,1141.56,1155.43,9.4973
Swift (relaxed),swift-relaxed,5.8,1145.58,1142.6,1148.49,9.4979
Odin,odin,2026-01,1165.56,1144.5,1184.21,9.4979
V,v,0.4.11,1163.75,1152.98,1171.48,9.4979
Crystal,crystal,1.18.2,1163.26,1153.16,1165.14,9.4964
WASM (C via Wasmtime),wasm,29.0.1,1156.56,1153.59,1165.18,9.4979
Go,go,1.25.5,1165.93,1156.96,1171.02,9.4964
Assembly (NASM x64),nasm,2.16.03,1161.11,1157.9,1171.45,9.4979
Common Lisp (SBCL),sbcl,2.5.10,1177.61,1159.51,1177.68,9.4979
Hare,hare,0.26.0,1162.25,1160.76,1183.82,9.4979
Deno (TypeScript),deno,2.6.6,1174.3,1161.38,1179.67,9.4979
Java (GraalVM),java-graalvm,23.0.1,1164.13,1163.32,1178.73,9.4964
Pascal (FPC),pascal,3.2.2,1165.3,1165.12,1190.37,9.4979
Mojo,mojo,1.0.0,1166.95,1165.96,1168.32,9.4964
Haxe,haxe,4.3.4,1174.83,1172.43,1175.09,9.4964
Dart (AOT),dart-aot,3.9.4,1182.64,1173.42,1184.85,9.4979
F#,fsharp,8.0.416,1206.88,1186.39,1213.05,9.4979
Javascript (nodejs),nodejs,25.2.1,1212.33,1189.9,1224.09,9.4979
C#,csharp,8.0.416,1194.71,1191.35,1204.57,9.4979
Javascript (bun),bun,1.3.4,1207.89,1207.76,1234.1,9.4979
Kotlin,kotlin,2.1.0,1225.87,1225.09,1247.32,9.4979
Python (PyPy),pypy,3.11.13,1257.31,1251.8,1283.02,9.4964
Python (Numba),cpython-numba,3.12.8,1681.93,1629.62,1710.85,9.4964
Chez Scheme,chezscheme,10.3.0,1720.48,1686.55,1724.96,9.4964
Racket,racket,9.0,1863.75,1851.14,1902.65,9.4964
Haskell (GHC),haskell,9.10.3,2334.09,2175.75,2415.0,9.4979
Java,java,21.0.9,3085.77,3061.01,3127.5,9.4964
Kotlin (Native),kotlin-native,2.2.21,3447.8,3423.31,3452.18,9.4979
Python (mypyc),mypyc,3.12.8,3646.45,3629.18,3683.02,9.4979
Clojure,clojure,1.12.0,3812.43,3788.78,3823.2,9.4979
Dart,dart,3.9.4,4095.45,4082.28,4351.61,9.4979
Groovy,groovy,4.0.26,4404.04,4094.27,4413.73,9.4964
PHP,php,8.4.15,8664.95,8573.96,8810.17,9.4964
Lua,lua,5.4.4,9163.36,9068.05,9487.84,9.4964
Elixir,elixir,1.18.1,10662.07,10605.42,10787.33,9.4964
Erlang,erlang,27,11120.95,11058.73,11225.43,9.4964
R,r,4.5.2,11354.91,11259.35,11359.92,9.4971
Janet (compiled),janet-compiled,1.39.1,13785.03,13703.63,13837.52,9.4964
Octave (Vectorised),octave-vectorised,10.3.0,17323.39,16791.33,17891.84,9.4971
Python (NumPy),cpython-numpy,3.12.8,17105.04,17055.78,17246.79,9.4972
Gleam,gleam,1.14.0,37135.31,36936.44,37373.46,9.4964
Ruby,ruby,3.4.7,47139.68,47076.9,48604.1,9.4964
Janet,janet,1.40.1,51238.48,50840.66,52706.37,9.4964
Python (CPython),python,3.12.8,76580.45,75699.77,86428.46,9.4964
Raku,raku,2025.06.1,82736.8,82418.35,82931.12,9.4964
Perl,perl,5.40.0,106492.85,105560.77,107235.31,9.4964
MicroPython,micropython,1.24.1,109500.02,107939.41,109588.54,9.4964
Octave,octave,10.3.0,1004052.18,1003655.58,1006529.66,9.4964
