name,target,version,median,min,max,accuracy
C++ (clang++),cpp-clang,21.1.2,223.89,222.96,224.02,9.4967
C# (SIMD),cs-simd,10.0.101,226.98,225.11,227.62,9.4946
C++ (g++),cpp,15.2.0,226.37,225.43,227.15,9.4992
C++ (avx2),cpp-avx2,15.2.0,231.03,229.37,231.89,9.4973
Zig,zig,0.15.2,232.9,232.63,233.59,9.4967
D (LDC),d-ldc,1.41.0,234.27,232.92,234.41,9.4967
Rust (nightly),rust-nightly,1.94.0,234.7,233.76,235.58,9.4952
C (clang),c-clang,21.1.2,237.46,236.06,237.59,9.4967
Fortran 90,fortran,14.2.0,238.94,237.85,240.8,9.4402
Nim,nim,2.2.0,239.79,238.79,241.12,9.4951
D (GDC),d,15.2.0,243.46,242.31,243.48,9.4992
Julia,julia,1.12.2,251.37,250.98,252.81,9.4976
C (gcc),c,15.2.0,253.23,251.61,257.06,9.4992
Swift (SIMD),swift-simd,6.2.3,491.44,490.02,497.91,8.6928
Rust,rust,1.92.0,633.92,626.03,640.98,9.4979
Go,go,1.25.5,888.5,882.39,890.36,9.4964
Swift,swift,6.2.3,892.8,891.99,893.26,9.4964
Java (Vec Ops),java-vecops,25.0.1,900.89,896.65,904.49,9.4986
Java graalvm,java-graalvm,25.0.1,904.98,900.9,907.31,9.4964
Haxe (C++),haxe,4.3.6,904.65,903.12,907.13,9.4964
Objective-C,objc,21.1.2,908.48,906.4,908.62,9.4964
V,v,0.4.12,908.63,906.91,909.65,9.4979
Javascript (bun),bunjs,1.3.4,928.5,912.45,936.95,9.4979
WASM (C via Wasmtime),wasm,39.0.1,933.27,920.53,961.23,9.4979
Odin,odin,2025,947.59,937.78,975.64,9.4979
Pony,pony,0.58.0,946.29,945.47,952.61,9.4979
Dart (AOT),dart-aot,3.10.4,950.2,949.79,961.58,9.4979
Scala,scala,3.7.4,953.83,953.16,960.13,9.4979
Common Lisp (SBCL),sbcl,2.5.11,955.82,954.06,971.92,9.4979
LuaJIT,luajit,2.1.1723681758,956.17,955.53,958.2,9.4964
Ada (gnat-gcc),ada,15.2.0,965.81,957.47,971.34,9.4964
Kotlin,kotlin,2.2.21,967.3,964.51,971.09,9.4979
Pony(nightly),pony-nightly,20231205,976.53,970.77,979.51,9.4979
Deno (TypeScript),deno,2.6.0,983.86,976.38,1013.46,9.4979
Pascal (FPC),pascal,3.2.2,980.15,977.95,998.97,9.4979
F#,fs,10.0.101,996.8,989.4,997.84,9.4979
C#,cs,10.0.101,1002.54,990.85,1014.35,9.4979
OCaml,ocaml,5.4.0,1008.23,996.98,1017.69,9.4971
Python (PyPy),pypy,3.11.13,1060.24,1044.99,1076.83,9.4964
Haskell (GHC),haskell,9.10.3,1177.2,1045.68,1190.56,9.4979
Racket,racket,9.0,1109.7,1107.4,1110.61,9.4964
Crystal,crystal,1.18.2,1200.7,1199.94,1251.68,9.4964
Javascript (nodejs),nodejs,25.2.1,1280.09,1260.51,1281.13,9.4979
Java,java,25.0.1,1697.58,1648.79,1725.66,9.4964
Python (NumPy),cpython-numpy,3.13.11,2460.09,2333.37,3865.91,9.4971
Clojure,clj,1.12.4.1582,2368.63,2366.04,2369.46,9.4979
Groovy,groovy,5.0.3,2665.59,2586.22,2680.87,9.4964
Dart (JIT),dart,3.10.4,3248.73,3203.08,3252.05,9.4979
R,r,4.5.2,3360.34,3351.66,3462.96,9.4971
Python (MyPyC),mypyc,1.19.0,3587.62,3534.93,3615.18,9.4979
PHP,php,8.4.15,8625.78,8622.4,8660.36,9.4964
Lua,lua,5.4.8,8979.55,8967.9,8982.52,9.4964
Elixir,elixir,15.2.7.4,10055.13,9793.51,11636.61,9.4964
Erlang,erlang,28.3,10002.19,9904.44,10103.12,9.4964
Janet (compiled),janet-compiled,1.40.1,16047.6,15993.47,16157.92,9.4964
Gleam,gleam,1.13.0,28051.41,28006.65,28120.48,9.4979
Ruby,ruby,3.4.7,35964.45,35909.53,37484.75,9.4964
Janet,janet,1.40.1,47210.1,47104.5,54129.44,9.4964
Raku,raku,2025.10,74447.63,72044.0,75966.26,9.4964
Perl,perl,5,85152.14,85137.74,85513.03,9.4964
Python (CPython),cpython,3.14.2,86319.24,86181.7,94887.64,9.4964
