name,version,median,min,max,accuracy
C++ (clang++),21.1.2,223.89,222.96,224.02,9.4967
C++ (g++),15.2.0,226.37,225.43,227.15,9.4992
C++ (avx2),15.2.0,231.03,229.37,231.89,9.4973
Zig,0.15.2,232.9,232.63,233.59,9.4967
D (LDC),1.41.0,234.27,232.92,234.41,9.4967
Rust (nightly),1.94.0,234.7,233.76,235.58,9.4952
C (clang),21.1.2,237.46,236.06,237.59,9.4967
Fortran 90,14.2.0,238.94,237.85,240.8,9.4402
Nim,2.2.0,239.79,238.79,241.12,9.4951
Julia,1.12.2,240.0,239.65,241.11,9.4976
D (GDC),15.2.0,243.46,242.31,243.48,9.4992
C (gcc),15.2.0,253.23,251.61,257.06,9.4992
Julia (ux4),1.12.2,269.54,268.75,278.61,8.7837
Swift (SIMD),6.0.3,522.02,515.06,522.21,8.6928
Rust,1.83.0,648.83,645.85,649.4,9.4979
Go,1.23.12,871.68,866.38,875.54,9.4964
Java (Vec Ops),21.0.9,872.14,868.23,897.1,9.4986
Java graalvm,25.0.1,904.98,900.9,907.31,9.4964
Haxe (C++),4.3.6,904.65,903.12,907.13,9.4964
Objective-C,21.1.2,908.48,906.4,908.62,9.4964
LuaJIT,2.1.1723681758,918.49,911.63,928.82,9.4964
Javascript (bun),1.2.23,912.77,912.73,914.52,9.4979
Python (PyPy),3.10.16,942.63,938.95,942.68,9.4964
Swift,6.0.3,949.58,943.86,954.0,9.4964
Pony,0.58.0,946.29,945.47,952.61,9.4979
Dart (AOT),3.10.4,950.2,949.79,961.58,9.4979
Scala,3.7.4,953.83,953.16,960.13,9.4979
Crystal,1.15.1,969.55,953.71,983.16,9.4964
Common Lisp (SBCL),2.5.11,955.82,954.06,971.92,9.4979
WASM (C via Wasmtime),29.0.1,957.96,955.59,962.92,9.4979
Kotlin,2.1.21,963.9,956.17,972.85,9.4979
F#,10.0.101,968.71,956.96,970.74,9.4979
Ada (gnat-gcc),15.2.0,965.81,957.47,971.34,9.4964
Odin,2025,974.75,962.71,975.54,9.4979
C#,10.0.101,974.48,970.69,976.06,9.4979
Pony(nightly),20231205,976.53,970.77,979.51,9.4979
Deno (TypeScript),2.6.0,983.86,976.38,1013.46,9.4979
Pascal (FPC),3.2.2,980.15,977.95,998.97,9.4979
V,0.4.12,995.42,995.4,1004.26,9.4979
OCaml,5.4.0,1008.23,996.98,1017.69,9.4971
Haskell (GHC),9.10.3,1177.2,1045.68,1190.56,9.4979
Javascript (nodejs),22.21.1,1419.21,1060.52,1450.54,9.4979
Java,21.0.9,1906.91,1900.03,1917.38,9.4964
Python (NumPy),3.13.11,2460.09,2333.37,3865.91,9.4971
Python (MyPyC),1.19.0,2398.07,2397.18,2400.4,9.4979
Clojure,1.12.3.1577,2461.85,2442.36,2467.69,9.4979
Dart (JIT),3.10.4,3248.73,3203.08,3252.05,9.4979
R,4.5.2,3360.34,3351.66,3462.96,9.4971
Racket,9.0,3635.41,3566.02,3736.81,9.4979
Groovy,4.0.27,6051.31,6048.33,6055.09,9.4964
PHP,8.4.15,8157.07,8075.66,8411.93,9.4964
Elixir,15.2.7.4,13579.22,13540.46,13627.89,9.4964
Lua,5.4.8,16519.05,16510.47,16572.27,9.4964
Janet (compiled),1.40.1,16850.95,16771.97,16852.89,9.4964
Erlang,28.3,21410.22,19817.61,21421.04,9.4964
Raku,2025.10,24501.54,24363.75,24529.73,9.4964
Gleam,1.13.0,28051.41,28006.65,28120.48,9.4979
Ruby,3.4.7,45532.48,44893.67,48768.26,9.4964
Python (CPython),3.13.11,59051.28,58217.93,102831.19,9.4964
Perl,5,71798.31,68912.78,72404.56,9.4964
Janet,1.40.1,75636.23,75603.41,75925.42,9.4964
