name,version,median,min,max,accuracy
Julia ux4,1.12.2,211.57,211.37,212.82,5.2662
C++ (avx2),15.2.0,350.66,350.56,351.06,9.4973
Zig,0.15.2,350.89,350.7,351.02,9.4985
Fortran 90,14.2.0,351.58,351.04,351.61,9.3895
D (LDC),1.41.0,351.28,351.13,351.36,9.4985
C++ (clang++),21.1.2,353.45,353.31,353.74,9.4985
C (clang),21.1.2,353.4,353.38,353.93,9.4985
Rust (nightly),1.94.0,355.7,355.56,355.74,9.4952
C++ (g++),15.2.0,399.87,398.58,400.18,9.4943
C (gcc),15.2.0,399.91,399.08,400.85,9.4943
D (GDC),15.2.0,402.93,402.74,402.98,9.4943
Nim,2.2.0,422.38,422.17,423.64,9.5
Julia,1.12.2,668.93,666.55,671.69,9.4958
Swift (SIMD),6.0.3,839.07,838.98,844.06,8.6928
Objective-C,21.1.2,1153.08,1152.95,1153.47,9.4964
Rust,1.83.0,1173.17,1172.83,1175.71,9.4979
LuaJIT,2.1.1723681758,1220.44,1219.72,1223.49,9.4964
Scala,3.7.4,1401.11,1400.79,1401.32,9.4979
Pascal (FPC),3.2.2,1401.63,1400.94,1401.82,9.4979
Odin,2025,1402.19,1401.46,1402.73,9.4979
OCaml,5.4.0,1402.55,1402.36,1403.39,9.4971
Go,1.23.12,1403.6,1403.02,1404.15,9.4979
V,0.4.12,1404.09,1403.22,1405.79,9.4979
Ada (gnat-gcc),15.2.0,1403.87,1403.34,1403.98,9.4964
Common Lisp (SBCL),2.5.11,1406.33,1406.13,1406.93,9.4979
Pony,0.58.0,1406.48,1406.23,1413.89,9.4979
Dart (AOT),3.10.3,1406.52,1406.39,1407.68,9.4979
WASM (C via Wasmtime),29.0.1,1408.01,1407.82,1408.88,9.4979
Swift,6.0.3,1408.4,1408.32,1409.02,9.4964
Pony(nightly),20231205,1409.65,1409.53,1412.56,9.4979
Java graalvm,25.0.1,1410.96,1410.8,1412.29,9.4964
Javascript (bun),1.2.23,1459.57,1454.46,1463.18,9.4979
C#,9.0.203,1457.05,1455.14,1457.18,9.4979
Kotlin,2.1.21,1477.75,1475.93,1477.85,9.4979
F#,9.0.203,1481.51,1479.88,1484.1,9.4979
Crystal,1.15.1,1553.38,1552.61,1553.51,9.4964
Javascript (nodejs),22.21.1,1597.39,1592.54,1597.5,9.4979
Deno (TypeScript),2.5.6,1610.85,1608.87,1614.1,9.4979
Java (Vec Ops),21.0.9,1898.81,1844.77,1903.43,9.4979
Haskell (GHC),9.10.3,2507.46,2505.08,2513.66,9.4979
Java,21.0.9,3490.11,3482.51,3495.68,9.4964
Python (MyPyC),1.19.0,3724.0,3690.52,3724.22,9.4979
Python (NumPy),3.13.10,4076.49,3716.49,4328.44,9.4971
Python (PyPy),3.10.16,4118.02,3855.55,4120.74,9.4971
Clojure,1.12.3.1577,4328.33,4293.18,4338.71,9.4979
R,4.5.2,4932.28,4929.75,4964.11,9.4971
Dart (JIT),3.10.3,5234.69,5089.88,5262.41,9.4979
Groovy,4.0.27,10810.3,10733.06,10925.65,9.4964
Elixir,15.2.7.4,13595.82,13579.25,13606.18,8.4326
Erlang,28.2,13895.92,13743.34,14140.75,9.4979
PHP,8.4.15,14770.64,14743.31,14849.25,9.4979
Lua,5.4.8,14839.51,14818.12,14843.17,9.4964
Haxe (C++),4.3.6,16271.72,16182.23,16458.65,9.4964
Racket,9.0,29018.68,28742.99,29235.73,9.4979
Janet (compiled),1.40.1,33699.92,33699.0,33775.01,9.4979
Gleam,1.13.0,42725.19,42430.69,42765.53,9.4979
Python (CPython),3.13.10,78391.59,78133.28,83688.94,9.4971
Janet,1.40.1,78325.23,78286.5,78358.08,9.4979
Perl,5,85885.49,85723.06,87525.27,9.4964
Ruby,3.4.7,101794.68,101586.11,102131.44,9.4964
Raku,2025.10,260968.08,257944.73,269774.79,9.4964
